num of agents,sum of costs,weights,runtime,cost lowerbound,sum of distances,MAPF algorithm
8,194635,"",46.1993,178838,178838,PP
8,194623,"",46.2733,178838,178838,PP
8,194601,"",46.3494,178838,178838,PP
8,194454,"",46.4245,178838,178838,PP
8,194454,"",46.5109,178838,178838,PP
8,194452,"",46.5927,178838,178838,PP
8,194354,"",46.6666,178838,178838,PP
8,194346,"",46.7522,178838,178838,PP
8,194304,"",46.8268,178838,178838,PP
8,194296,"",46.909,178838,178838,PP
8,194256,"",46.9864,178838,178838,PP
8,194217,"",47.0683,178838,178838,PP
8,194156,"",47.1388,178838,178838,PP
8,194139,"",47.2212,178838,178838,PP
8,194137,"",47.3059,178838,178838,PP
8,194137,"",47.3871,178838,178838,PP
8,194137,"",47.4688,178838,178838,PP
8,194103,"",47.5708,178838,178838,PP
8,194103,"",47.651,178838,178838,PP
9,194095,"",47.735,178838,178838,PP
8,194018,"",47.8306,178838,178838,PP
9,194017,"",47.9133,178838,178838,PP
8,194002,"",47.9995,178838,178838,PP
8,194002,"",48.0931,178838,178838,PP
8,193888,"",48.17,178838,178838,PP
8,193888,"",48.2504,178838,178838,PP
8,193887,"",48.3326,178838,178838,PP
8,193887,"",48.4053,178838,178838,PP
8,193867,"",48.4838,178838,178838,PP
8,193867,"",48.5705,178838,178838,PP
8,193836,"",48.6698,178838,178838,PP
8,193802,"",48.7556,178838,178838,PP
8,193781,"",48.8332,178838,178838,PP
8,193781,"",48.9127,178838,178838,PP
8,193781,"",48.9849,178838,178838,PP
8,193759,"",49.0666,178838,178838,PP
8,193690,"",49.1532,178838,178838,PP
8,193690,"",49.2306,178838,178838,PP
8,193685,"",49.309,178838,178838,PP
8,193678,"",49.3852,178838,178838,PP
8,193615,"",49.4608,178838,178838,PP
8,193583,"",49.5674,178838,178838,PP
8,193562,"",49.6755,178838,178838,PP
8,193553,"",49.7606,178838,178838,PP
8,193507,"",49.8429,178838,178838,PP
8,193507,"",49.9455,178838,178838,PP
8,193507,"",50.0224,178838,178838,PP
8,193502,"",50.0947,178838,178838,PP
8,193422,"",50.1759,178838,178838,PP
8,193422,"",50.2533,178838,178838,PP
8,193407,"",50.3337,178838,178838,PP
8,193326,"",50.4299,178838,178838,PP
8,193195,"",50.5239,178838,178838,PP
8,193129,"",50.5994,178838,178838,PP
8,193091,"",50.7026,178838,178838,PP
8,193007,"",50.7821,178838,178838,PP
8,193007,"",50.8618,178838,178838,PP
8,192927,"",50.9344,178838,178838,PP
8,192869,"",51.0159,178838,178838,PP
8,192863,"",51.0949,178838,178838,PP
8,192805,"",51.1668,178838,178838,PP
8,192719,"",51.2644,178838,178838,PP
8,192698,"",51.3504,178838,178838,PP
8,192698,"",51.4333,178838,178838,PP
8,192698,"",51.5216,178838,178838,PP
8,192548,"",51.6011,178838,178838,PP
8,192426,"",51.6809,178838,178838,PP
8,192425,"",51.7585,178838,178838,PP
8,192399,"",51.8329,178838,178838,PP
8,192299,"",51.9352,178838,178838,PP
8,192262,"",52.0287,178838,178838,PP
8,192259,"",52.1151,178838,178838,PP
8,192183,"",52.1885,178838,178838,PP
8,192183,"",52.269,178838,178838,PP
8,192147,"",52.3711,178838,178838,PP
8,192142,"",52.4463,178838,178838,PP
8,192119,"",52.5218,178838,178838,PP
8,192031,"",52.5958,178838,178838,PP
8,191980,"",52.6733,178838,178838,PP
8,191888,"",52.7476,178838,178838,PP
8,191852,"",52.8348,178838,178838,PP
8,191852,"",52.9202,178838,178838,PP
8,191852,"",52.9981,178838,178838,PP
8,191852,"",53.0777,178838,178838,PP
8,191808,"",53.1718,178838,178838,PP
8,191808,"",53.2515,178838,178838,PP
8,191729,"",53.3281,178838,178838,PP
8,191637,"",53.4041,178838,178838,PP
8,191612,"",53.5017,178838,178838,PP
8,191586,"",53.5771,178838,178838,PP
8,191586,"",53.6529,178838,178838,PP
8,191578,"",53.7362,178838,178838,PP
8,191562,"",53.8118,178838,178838,PP
8,191494,"",53.8912,178838,178838,PP
8,191409,"",53.9787,178838,178838,PP
8,191398,"",54.0644,178838,178838,PP
8,191346,"",54.1461,178838,178838,PP
8,191265,"",54.2322,178838,178838,PP
9,191197,"",54.3174,178838,178838,PP
8,191197,"",54.3962,178838,178838,PP
8,191173,"",54.4717,178838,178838,PP
8,191157,"",54.5572,178838,178838,PP
8,191106,"",54.6407,178838,178838,PP
8,191106,"",54.7137,178838,178838,PP
8,191069,"",54.7905,178838,178838,PP
8,191018,"",54.8648,178838,178838,PP
8,190907,"",54.9404,178838,178838,PP
8,190893,"",55.022,178838,178838,PP
8,190893,"",55.1003,178838,178838,PP
8,190893,"",55.1798,178838,178838,PP
8,190868,"",55.2517,178838,178838,PP
8,190842,"",55.3326,178838,178838,PP
8,190818,"",55.4037,178838,178838,PP
8,190682,"",55.4806,178838,178838,PP
8,190668,"",55.5617,178838,178838,PP
8,190611,"",55.6348,178838,178838,PP
8,190611,"",55.708,178838,178838,PP
8,190610,"",55.7841,178838,178838,PP
8,190604,"",55.8639,178838,178838,PP
8,190564,"",55.9391,178838,178838,PP
8,190545,"",56.0138,178838,178838,PP
8,190545,"",56.0966,178838,178838,PP
8,190528,"",56.1814,178838,178838,PP
8,190478,"",56.2601,178838,178838,PP
8,190448,"",56.3387,178838,178838,PP
8,190396,"",56.4287,178838,178838,PP
8,190238,"",56.5043,178838,178838,PP
8,190217,"",56.6048,178838,178838,PP
8,190213,"",56.6795,178838,178838,PP
8,190213,"",56.7596,178838,178838,PP
8,190213,"",56.8376,178838,178838,PP
8,190187,"",56.9124,178838,178838,PP
